"Clips, surgical",外科用剪
Needles for medical purposes,医用针
Suture needles,缝合针
Hot air therapeutic apparatus,热气医疗装置
Hot air vibrators for medical purposes,医用热气颤振器
Catheters,医用导管
Nursing appliances,护理器械
Obstetric apparatus for cattle,牲畜助产器
Knives for surgical purposes,外科手术刀
Scalpels,外科用小手术刀
Surgical bougies,外科手术探针
Cannulae,医用插管
Appliances for washing body cavities,冲洗体腔装置
Castrating pincers,阉割钳
Surgical apparatus and instruments,外科仪器和器械
Instrument cases for use by doctors,医生用器械箱
Anaesthetic apparatus,麻醉仪器
Scissors for surgery,外科手术剪
Compressors [surgical],压迫机(外科用)
Droppers for medical purposes,医用滴管
Corn knives,割鸡眼刀
Esthetic massage apparatus,健美按摩设备
Surgical cutlery,外科用刀
Incubators for medical purposes,医用恒温箱
Tongue scrapers,刮舌器
Lancets,柳叶刀(外科用)
Syringes for injections,注射针管
Drainage tubes for medical purposes,医用引流管
Probes for medical purposes,医用探针
Pumps for medical purposes,医用泵
Blood testing apparatus,验血仪器
Dropper bottles for medical purposes,医用滴瓶
Forceps,医用钳
Gastroscopes,胃镜
Haemocytometers,血球计
Hemocytometers,血球计
Hypodermic syringes,皮下注射器
Inhalers,吸入器
Injectors for medical purposes,医用注射针筒
Urological apparatus and instruments,泌尿科器械及器具
Insufflators,吹入器
Enema apparatus for medical purposes,医用灌肠器
Lamps for medical purposes,医用灯
Vaporizers for medical purposes,医用蒸发器
Anaesthetic masks,麻醉面罩
Massage apparatus,按摩器械
Medical apparatus and instruments,医疗器械和仪器
Receptacles for applying medicines,敷药用器具
Cases fitted for medical instruments,医疗器械箱
Mirrors for surgeons,外科医生用镜
Obstetric apparatus,助产器械
Ophthalmometers,检眼计
Ophthalmoscopes,检眼镜
Bolus guns,兽医用喂丸器
Balling guns,兽医用喂丸器
Arterial blood pressure measuring apparatus,血压计
Sphygmomanometers,血压计
Sphygmotensiometers,血压计
Quartz lamps for medical purposes,医用石英灯
Resuscitation apparatus,复苏器
Respirators for artificial respiration,人工呼吸器
Apparatus for artificial respiration,人工呼吸设备
Saws for surgical purposes,外科手术用锯
Uterine syringes,子宫注射器
Vaginal syringes,阴道冲洗器
Stethoscopes,听诊器
Apparatus for the treatment of deafness,耳聋治疗设备
Operating tables,手术台
Trocars,医用穿刺套管针
Urethral probes,尿道探针
Urethral syringes,尿道注射器
Cupping glasses,火罐
Veterinary apparatus and instruments,兽医用器械和工具
Vibromassage apparatus,振动按摩器
Aerosol dispensers for medical purposes,医用气雾剂分配器
Syringes for medical purposes,医用注射器
Physical exercise apparatus for medical purposes,医用体育活动器械
Incubators for babies,早产婴儿保育箱
Brushes for cleaning body cavities,刷体腔用毛刷
Testing apparatus for medical purposes,医用测试仪
Apparatus for use in medical analysis,医疗分析仪器
Fumigation apparatus for medical purposes,医用蒸薰设备
Spirometers [medical apparatus],肺活量计(医疗器械)
Thermometers for medical purposes,医用体温计
Acupuncture needles,针灸针
Diagnostic apparatus for medical purposes,医用诊断设备
Heart pacemakers,心脏起搏器
Defibrillators,医用电击去心脏纤颤器
Dialyzers,透析器
Medical guidewires,医用导丝
Traction apparatus for medical purposes,医用牵引仪器
Douche bags,下体冲洗袋
Microdermabrasion apparatus,显微皮肤磨削仪
Body rehabilitation apparatus for medical purposes,医用身体康复仪
Pulse meters,脉搏计
Stents,医用支架
Temperature indicator labels for medical purposes ,医用示温标签
Apparatus for acne treatment,治疗痤疮用装置 
Endoscopy cameras for medical purposes,医用内窥镜摄像头
Brain pacemakers,脑起搏器
Implantable subcutaneous drug delivery devices,植入型皮下给药装置
Biodegradable bone fixation implants,可生物降解的骨固定植入物
Tongue depressors for medical purposes,医用压舌板
Nasal aspirators,吸鼻器
Respiratory masks for artificial respiration,人工呼吸用呼吸面罩
Analysers for bacterial identification for medical purposes ,医用细菌鉴定分析仪
Analyzers for bacterial identification for medical purposes,医用细菌鉴定分析仪
Apparatus for DNA and RNA exams for medical purposes,医用DNA及RNA测试设备
Apparatus for the regeneration of stem cells for medical purposes,医用干细胞再生设备
Body fat monitors,体脂监测仪
Body composition monitors,人体成分监测仪
Instruments for hemostatic sutures,止血缝合器械
Otolaryngological instruments,耳鼻喉科器械
Ophthalmological instruments,眼科器械
Disinfected and sterilized medical instruments,已杀菌消毒的医疗器械
Seminiferous device,输精器
Transfusion device,输血器
Dentists' armchairs,牙科医生用扶手椅
Artificial teeth,假牙
Dental burs,牙钻
Dental apparatus and instruments,牙科设备和仪器
Pins for artificial teeth,假牙套
Sets of artificial teeth,全口假牙
Dentures,全口假牙
Mirrors for dentists,牙科用镜
Armchairs for medical or dental purposes,医用或牙科用扶手椅
"Dental apparatus, electric",电动牙科设备
Orthodontic appliances,畸齿矫正仪器
Teeth protectors for dental purposes,牙科用牙齿保护器 
Radium tubes for medical purposes,医用镭管
Galvanic belts for medical purposes,医用电刺激带
X-ray apparatus for medical purposes,医用X光装置
"Heating cushions, electric, for medical purposes",医用电热垫
"Heating pads, electric, for medical purposes",医用电热垫
"Heating cushions [pads], electric, for medical purposes",医用电热垫
Thermo-electric compresses [surgery],电热敷布(外科)
Radiology screens for medical purposes,医用放射屏幕
Electrocardiographs,心电图描记器
Galvanic therapeutic appliances,电疗器械
Ultraviolet ray lamps for medical purposes,医用紫外线灯
Lasers for medical purposes,医用激光器
"Apparatus and installations for the production of X-rays, for medical purposes",医用x光产生装置和设备
X-ray photographs for medical purposes,医用X光照片
Radiological apparatus for medical purposes,医用放射设备
Radiotherapy apparatus,放射医疗设备
X-ray tubes for medical purposes,医用X光管
"Protection devices against X-rays, for medical purposes",医用X光防护装置
Electrodes for medical use,医用电极
"Belts, electric, for medical purposes",医用带(电)
"Filters for ultraviolet rays, for medical purposes",医用紫外线过滤器
"Blankets, electric, for medical purposes",医用电热毯
Physiotherapy apparatus,理疗设备
Electric acupuncture instruments,电子针灸仪
Thermal packs for first aid purposes,急救用热敷布(袋)
Tomographs for medical purposes,医用断层扫描仪 
Heart rate monitoring apparatus,心率监测设备
Ultrasonic device for medical purpose,医疗用超声器械
Isotopic apparatus and instrument for diagnosis and treatment period,诊断和治疗期同位素设备和器械
Ultraviolet sterilizing lamps for medical purpose,医用紫外线杀菌灯
Childbirth mattresses,分娩褥垫
Hearing aids,助听器
Ear trumpets,喇叭状助听器
Draw-sheets for sick beds,病床用吸水床单
Incontinence sheets,失禁用垫单
Bed pans,卧床病人用便盆
Basins for medical purposes,医用盆
Boots for medical purposes,医用靴
Spittoons for medical purposes,医用痰盂
"Gurneys, wheeled",带轮担架
"Stretchers, wheeled",带轮担架
Ambulance stretchers,救护车担架
Hernia bandages,疝气带
Trusses,疝气带
Gloves for medical purposes,医用手套
Belts for medical purposes,医用带
Maternity belts,孕妇托腹带
Surgical sponges,外科用海绵
Cushions for medical purposes,医用垫
Spoons for administering medicine,吃药用勺
Ear picks,挖耳勺
Finger guards for medical purposes,医用指套
Water bags for medical purposes,医用水袋
Gloves for massage,按摩用手套
Ice bags for medical purposes,医用冰袋
Hydrostatic beds for medical purposes,医用水床
Water beds for medical purposes,医用水床
Hydrostatic [water] beds for medical purposes,医用水床
Abdominal pads,腹部护垫
Soporific pillows for insomnia,失眠用催眠枕头
Urinals [vessels],卧床病人用尿壶
Furniture especially made for medical purposes,医用特制家具
Umbilical belts,脐疝带
Hearing protectors,听力保护器
Bed vibrators,床用摆动器
Air pillows for medical purposes,医用气枕
Air cushions for medical purposes,医用气垫
"Air mattresses, for medical purposes",医用气褥垫
"Sterile sheets, surgical",无菌罩布(外科用)
"Beds, specially made for medical purposes",医用床
Pads [pouches] for preventing pressure sores on patient bodies,病人身上伤痛处防压垫(袋)
Clothing especially for operating rooms,手术衣
Invalids' hoists,升举病人用器具
Masks for use by medical personnel,医务人员用面罩
Surgical drapes,手术用消毒盖布
Commode chairs,大便座椅
Containers especially made for medical waste,医疗垃圾专用容器
Ear plugs [ear protection devices],耳塞(听力保护装置)
Lice combs,除虱梳 
Compression garments,压力衣
Menstrual cups,月经杯 
Anti-rheumatism bracelets,抗风湿手环
Anti-rheumatism rings,抗风湿指环
Bracelets for medical purposes,医用手镯
Oxygen bags,氧气袋
Respirator,口罩
Teething rings,出牙咬环
Babies' bottles,奶瓶
Feeding bottles,奶瓶
Breast pumps,吸奶器
Babies' pacifiers [teats],婴儿用安抚奶嘴
Dummies [teats] for babies,婴儿用安抚奶嘴
Pacifiers for babies,婴儿用安抚奶嘴
Teats,婴儿用安抚奶嘴
Feeding bottle valves,奶瓶阀
Feeding bottle teats,奶瓶用奶嘴
Pessaries,子宫帽
Condoms,避孕套
"Contraceptives, non-chemical",非化学避孕用具
Love dolls [sex dolls],性爱娃娃
Sex toys,性玩具 
Artificial jaws,人造颚
Artificial limbs,假肢
Artificial skin for surgical purposes,外科用人造皮肤
Artificial breasts,人造乳房
Artificial eyes,人造眼睛
Hair prostheses,植发用毛发
Lenses [intraocular prostheses] for surgical implantation,外科移植用假眼球
Intraocular prostheses [lenses] for surgical implantation,外科移植用假眼球
Surgical implants comprised of artificial materials,人造外科移植物
Abdominal belts,腹带
Hypogastric belts,下腹托带
Abdominal corsets,紧身腹围
Supportive bandages,支撑绷带
"Bandages for joints, anatomical",矫形用关节绷带
"Splints, surgical",石膏夹板(外科)
"Bandages, elastic",弹性绷带
Orthopaedic articles,矫形用物品
Orthopedic articles,矫形用物品
Arch supports for footwear,鞋用弓型支垫
Strait jackets,拘束衣
Maternity belts,孕妇托腹带 
Orthopaedic belts,矫形带
Orthopedic belts,矫形带
Orthopaedic footwear,矫形鞋
Orthopedic footwear,矫形鞋
Tips for crutches ,拐杖头
Supports for flat feet,平足支撑物
Suspensory bandages,悬吊式绷带
Elastic stockings for surgical purposes,外科用弹力袜
Elastic stockings [surgery],外科用弹力袜
Stockings for varices,静脉曲张用长袜
Crutches,伤残人用拐杖
Orthopaedic soles,矫形鞋底
Orthopedic soles,矫形鞋底
Corsets for medical purposes,医用紧身胸衣
"Knee bandages, orthopaedic",矫形用膝绷带
"Knee bandages, orthopedic",矫形用膝绷带
Plaster bandages for orthopaedic purposes,矫形用石膏绷带
Plaster bandages for orthopedic purposes,矫形用石膏绷带
Slings [supporting bandages],吊带(支撑绷带)
Walking frames for disabled persons,残障者用助行架
Quad canes for medical purposes,医用四脚拐杖 
Orthodontic rubber bands,正畸用橡皮筋
Toe separators for orthopaedic purposes ,矫形用分趾器
Toe separators for orthopedic purposes,矫形用分趾器
Catgut,羊肠线
"Thread, surgical",线(外科用)
Suture materials,缝合材料
,
